old_filename|new_filename
A1 L02 Introducing yourself.mp3|ee-bsc-a1-l2-audio-1.mp3
A1 L03 How many people work here.mp3|ee-bsc-a1-l3-audio-1.mp3
A1 L04 My work routine.mp3|ee-bsc-a1-l4-audio-1.mp3
A1 L05 How many emails do you write-1.mp3|ee-bsc-a1-l5-audio-1.mp3
A1 L05 How many emails do you write-2.mp3|ee-bsc-a1-l5-audio-2.mp3
A1 L06 Do you like your job.mp3|ee-bsc-a1-l6-audio-1.mp3
A1 L07 At the mall.mp3|ee-bsc-a1-l7-audio-1.mp3
A1 L09 I like shopping.mp3|ee-bsc-a1-l9-audio-1.mp3
A1 L10 Can I help you.mp3|ee-bsc-a1-l10-audio-1.mp3
A1 L11 What do you have for breakfast.mp3|ee-bsc-a1-l11-audio-1.mp3
A1 L13 What do you usually eat.mp3|ee-bsc-a1-l13-audio-1.mp3
A1 L14 I really like fast food.mp3|ee-bsc-a1-l14-audio-1.mp3
A1 L15 Public transport.mp3|ee-bsc-a1-l15-audio-1.mp3
A1 L17 How do you get to work-1.mp3|ee-bsc-a1-l17-audio-1.mp3
A1 L17 How do you get to work-2.mp3|ee-bsc-a1-l17-audio-2.mp3
A1 L17 How do you get to work-3.mp3|ee-bsc-a1-l17-audio-3.mp3
A1 L18 Where's the station please.mp3|ee-bsc-a1-l18-audio-1.mp3
A1 L20 This is the office.mp3|ee-bsc-a1-l20-audio-1.mp3
A1 L21 Can we meet tomorrow.mp3|ee-bsc-a1-l21-audio-1.mp3
A1 L22 An international family.mp3|ee-bsc-a1-l22-audio-1.mp3
A1 L23 I lived in New York.mp3|ee-bsc-a1-l23-audio-1.mp3
A1 L24 I didn't play basketball.mp3|ee-bsc-a1-l24-audio-1.mp3
A1 L25 Did you clean the house today.mp3|ee-bsc-a1-l25-audio-1.mp3
A1 L26 This is my phone.mp3|ee-bsc-a1-l26-audio-1.mp3
A1 L28 I liked my old phone.mp3|ee-bsc-a1-l28-audio-1.mp3
A1 L30 When do you go to the gym.mp3|ee-bsc-a1-l30-audio-1.mp3
A1 L32 It was very hot and sunny.mp3|ee-bsc-a1-l32-audio-1.mp3
A1 L33 How long did you work there.mp3|ee-bsc-a1-l33-audio-1.mp3
A1 L34 Let's order takeout.mp3|ee-bsc-a1-l34-audio-1.mp3
A1 L36 What did you do on the weekend.mp3|ee-bsc-a1-l36-audio-1.mp3
A1 L37 Are you ready to order.mp3|ee-bsc-a1-l37-audio-1.mp3
A1 L38 I play soccer every week.mp3|ee-bsc-a1-l38-audio-1.mp3
A1 L40 My husband plays golf.mp3|ee-bsc-a1-l40-audio-1.mp3
A1 L41 I really need to keep fit.mp3|ee-bsc-a1-l41-audio-1.mp3
A1 L42 I go sightseeing in the city.mp3|ee-bsc-a1-l42-audio-1.mp3
A1 L44 We went camping last year.mp3|ee-bsc-a1-l44-audio-1.mp3
A1 L45 Let's meet at the mall.mp3|ee-bsc-a1-l45-audio-1.mp3
A1 L47 My birthday's in June.mp3|ee-bsc-a1-l47-audio-1.mp3
A1 L48 Why don't you go to the museum.mp3|ee-bsc-a1-l48-audio-1.mp3
A2 L02 A typical day.mp3|ee-bsc-a2-l2-audio-1.mp3
A2 L06 At the supermarket.mp3|ee-bsc-a2-l6-audio-1.mp3
A2 L08 Enjoying yourself.mp3|ee-bsc-a2-l8-audio-1.mp3
A2 L10 Buying a train ticket.mp3|ee-bsc-a2-l10-audio-1.mp3
A2 L12 Good food.mp3|ee-bsc-a2-l12-audio-1.mp3
A2 L15 My working day.mp3|ee-bsc-a2-l15-audio-1.mp3
A2 L18 Good feelings.mp3|ee-bsc-a2-l18-audio-1.mp3
A2 L19 Where things are.mp3|ee-bsc-a2-l19-audio-1.mp3
A2 L20 Using transportation.mp3|ee-bsc-a2-l20-audio-1.mp3
A2 L21 Good friends.mp3|ee-bsc-a2-l21-audio-1.mp3
A2 L23 Describing a meal.mp3|ee-bsc-a2-l23-audio-1.mp3
A2 L25 A smart criminal.mp3|ee-bsc-a2-l25-audio-1.mp3
A2 L27 Free-time activities.mp3|ee-bsc-a2-l27-audio-1.mp3
A2 L31 Hotel reservations.mp3|ee-bsc-a2-l31-audio-1.mp3
A2 L33 Boarding a flight.mp3|ee-bsc-a2-l33-audio-1.mp3
A2 L35 The weekly shopping trip.mp3|ee-bsc-a2-l35-audio-1.mp3
A2 L36 Getting around.mp3|ee-bsc-a2-l36-audio-1.mp3
